train_loss,val_loss,demographic_parity,equalized_odds,exposure_gap,adversary_accuracy
-0.5511817942315247,-1.8044913858175278,0.37629460342764387,0.7440816264540512,0.0,0.5955
-3.0804025642573833,-4.1639449298381805,0.4502796519840294,0.8796321490404987,0.0,0.5955
-4.672893762588501,-6.078100264072418,0.3023178577692811,0.5879749866790485,0.0,0.5955
-5.799658805131912,-7.013435959815979,0.2497034308612492,0.47675551002794736,0.0,0.5955
-6.617016553878784,-7.468523442745209,0.30374284264243884,0.5852852707169821,0.0,0.5955
-7.391857877373695,-7.926481902599335,0.36974465474993223,0.7224506977746823,0.0,0.5955
-8.4910679012537,-9.512068271636963,0.27433397784579233,0.5235111732484832,0.0,0.5955
-9.826149612665176,-10.509722113609314,0.32132941851691554,0.6187558540747978,0.0,0.5955
-11.083401173353195,-11.650962710380554,0.2409355705492055,0.4581328026987881,0.0,0.5955
-12.162574768066406,-12.8781578540802,0.2922910705445352,0.5610538772188179,0.0,0.5955
-13.319608092308044,-13.902336716651917,0.19228162599803428,0.3665353397963048,0.0,0.5955
-14.603453010320663,-15.217625975608826,0.22612216261433352,0.4374995282414488,0.0,0.5955
-16.203481048345566,-17.60697591304779,0.2956962965961232,0.5697359877175538,0.0,0.5955
-19.070660829544067,-21.97986078262329,0.29154796117149734,0.5621429457161404,0.0,0.5955
-25.08044421672821,-30.064224243164062,0.17259649264830274,0.32738461492540905,0.0,0.5955
-35.79163545370102,-43.61317443847656,0.304395657999479,0.5879444693108058,0.0,0.5955
-51.55343806743622,-64.42336082458496,0.37849175781691907,0.743036426344367,0.0,0.5955
-76.23403263092041,-95.12581157684326,0.14369825608005657,0.27121127887235863,0.0,0.5955
-111.77845859527588,-140.19210720062256,0.45123656098115345,0.8868067961850743,0.0,0.5955
-164.01556158065796,-204.5132541656494,0.22397586347544782,0.4355899514616526,0.0,0.5955
-238.72017192840576,-296.3716239929199,-0.1843616991465659,0.3825194562268858,0.0,0.5955
-346.7976050376892,-426.04975509643555,-0.21818147851780814,0.44558971574698214,0.0,0.5955
-503.4333906173706,-601.9916496276855,-0.07922625293325819,0.16444798587081494,0.0,0.5955
-705.0091419219971,-838.4800720214844,-0.13296157107436385,0.27278042572703165,0.0,0.5955
-969.3184337615967,-1149.1659393310547,0.2651883356737127,0.5190533180878176,0.0,0.5955
-1337.0842399597168,-1549.8926849365234,0.17585849370899792,0.3453376704832691,0.0,0.5955
-1776.8118171691895,-2057.3848876953125,-0.12193013318886291,0.24787709968768468,0.0,0.5955
-2323.126003265381,-2690.3507385253906,-0.11742892459826947,0.2392757660167131,0.0,0.5955
-3044.1749420166016,-3467.5086364746094,-0.04449938195302843,0.09126586196224079,0.0,0.5955
-3855.3113861083984,-4409.505157470703,0.6190900231339496,1.2340715627105712,0.0,0.5955
-4953.517288208008,-5540.2852783203125,-0.0519159456118665,0.10516248839368617,0.0,0.5955
-6167.676223754883,-6884.06640625,-0.022249690976514216,0.04675951717734448,0.0,0.5955
-7663.76091003418,-8462.316589355469,-0.04573547589616811,0.09292479108635097,0.0,0.5955
-9349.468353271484,-10326.078857421875,-0.014833127317676144,0.031173011451562982,0.0,0.5955
-11271.494567871094,-12499.39453125,-0.06674907292954264,0.13633549984524915,0.0,0.5955
-13702.911102294922,-14985.72412109375,0.777521771755409,1.5550964536091363,0.0,0.5955
-16299.932434082031,-17845.961181640625,0.8515971143277922,1.7019422537684827,0.0,0.5955
-19498.65625,-21113.715087890625,0.8634920536076611,1.726156028802138,0.0,0.5955
-23031.70428466797,-24799.282958984375,-0.04326328800988875,0.08791705354379449,0.0,0.5955
-26887.172790527344,-28973.43798828125,-0.0173053152039555,0.03449086969978335,0.0,0.5955
-31430.08953857422,-33677.19970703125,0.3459994042670668,0.6898981313181792,0.0,0.5955
-36266.008056640625,-38968.080078125,0.8546754137697337,1.7090212191926524,0.0,0.5955
-41704.18273925781,-44482.97119140625,-0.037082818294190356,0.07624264933457134,0.0,0.5955
-47732.47521972656,-50743.79541015625,-0.0407911001236094,0.08234602290312597,0.0,0.5955
-54191.85192871094,-57840.43408203125,-0.03584672435105068,0.07289384091612504,0.0,0.5955
-62045.007080078125,-65487.02392578125,-0.03337453646477132,0.06732281027545652,0.0,0.5955
-69481.84411621094,-73870.85546875,-0.0173053152039555,0.03561745589600743,0.0,0.5955
-78743.58447265625,-83086.724609375,-0.016069221260815822,0.033395233673785205,0.0,0.5955
-88325.42236328125,-92813.5654296875,-0.021013597033374538,0.042847415660786134,0.0,0.5955
-98592.18920898438,-103113.5908203125,-0.022249690976514216,0.04506963788300836,0.0,0.5955
